20 / 20 Cafe,Gavin Herbert Eye Institute,http://www.placestoeat.uci.edu/dining.php,33.64172205,-117.8522507
Admissions,Aldrich Hall,http://www.admissions.uci.edu/,33.64831,-117.840723
Alumni Cafe,Newkirk Alumni Center,http://www.placestoeat.uci.edu/dining.php,33.65237256,-117.8461329
Anteater Parking Structure,Zone 4 Parking,,33.64313837,-117.8377112
Anthill Pub & Grille,Student Center,http://www.placestoeat.uci.edu/dining.php,33.64865964,-117.8426741
ARC Parking Structure,Zone 1-6 Parking,,33.64513479,-117.8281785
Arts Student Affairs,Mesa Arts Building,http://admin.arts.uci.edu/content/student-affairs-office,33.65017024,-117.8463582
Arts Ticket Office,Claire Trevor School of the Arts,http://www.arts.uci.edu/boxoffice,33.64978933,-117.8449479
ASUCI / AGS,Student Center,https://www.asuci.uci.edu/,33.64865964,-117.8426741
ATMs,Student Center,http://www.studentcenter.uci.edu/Common%20Sub%20Pages/ATMs.php,33.64865964,-117.8426741
Bene's Pizza and Pasta,Student Center,http://www.placestoeat.uci.edu/dining.php,33.64865964,-117.8426741
Bike Shop,Bike Shop,,33.6507301,-117.8427354,http://bike.uci.edu/services/bikeshop.cfm,
Brandywine Commons,Middle Earth Brandywine Commons,,33.64562589,-117.8390246
Bren Ticket Office Ticketmaster,Bren Events Center,http://www.bren.uci.edu/Tickets/,33.64939292,-117.8470163
C3 Convenience Store ,Social Science Plaza A,http://www.food.uci.edu/convenience.php,33.64692684,-117.8395242
Cafe Espresso,Reines Hall,http://www.placestoeat.uci.edu/dining.php,33.64415409,-117.843278
Cafe Med,Cafe Med,http://www.placestoeat.uci.edu/dining.php,33.6460389,-117.8491012
Campus Information,Student Health Center II,,33.64561953,-117.8349032
Campus Tours,Student Center,http://www.campustours.uci.edu/,33.64865964,-117.8426741
Cancer Research Institute,Biological Sciences I Steinhaus Hall,http://cri.bio.uci.edu/,33.64623148,-117.8448309
Career Center,Career Center,http://www.career.uci.edu/,33.64791816,-117.8423616
